1711612969116,发言,,你好

1711612972917,主播,ben,Could you please repeat what you just said， but in Chinese?

1711612987368,发言,,我们开始对话吧

1711612990258,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613000953,发言,,今天是

1711613005802,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613027575,发言,,你好

1711613030567,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613041248,发言,,你好你除了会说这句话还会说什么话吗

1711613044674,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613055485,发言,,Can tell you tell you anything

1711613059409,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613073065,发言,,你好

1711613075999,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613097460,发言,,你好我们中文说话吧

1711613100590,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613110614,发言,,你现在听不懂人话了吗

1711613114978,主播,ben,Could you please repeat what you just said， but in Chinese?

1711613125907,发言,,你怎么就傻

1711613128983,主播,ben,Could you please repeat what you just said， but in Chinese?

